date,day_of_week,day_off,holiday
2015/1/1,4,1,NewYearsDay
2015/1/2,5,1,NewYearsDay
2015/1/3,6,1,NewYearsDay
2015/1/4,7,0,
2015/1/5,1,0,
2015/1/6,2,0,
2015/1/7,3,0,
2015/1/8,4,0,
2015/1/9,5,0,
2015/1/10,6,1,
2015/1/11,7,1,
2015/1/12,1,0,
2015/1/13,2,0,
2015/1/14,3,0,
2015/1/15,4,0,
2015/1/16,5,0,
2015/1/17,6,1,
2015/1/18,7,1,
2015/1/19,1,0,
2015/1/20,2,0,
2015/1/21,3,0,
2015/1/22,4,0,
2015/1/23,5,0,
2015/1/24,6,1,
2015/1/25,7,1,
2015/1/26,1,0,
2015/1/27,2,0,
2015/1/28,3,0,
2015/1/29,4,0,
2015/1/30,5,0,
2015/1/31,6,1,
2015/2/1,7,1,
2015/2/2,1,0,
2015/2/3,2,0,
2015/2/4,3,0,
2015/2/5,4,0,
2015/2/6,5,0,
2015/2/7,6,1,
2015/2/8,7,1,
2015/2/9,1,0,
2015/2/10,2,0,
2015/2/11,3,0,
2015/2/12,4,0,
2015/2/13,5,0,
2015/2/14,6,1,
2015/2/15,7,0,
2015/2/16,1,0,
2015/2/17,2,0,
2015/2/18,3,1,ChineseNewYearsEve
2015/2/19,4,1,ChineseNewYear
2015/2/20,5,1,ChineseNewYear
2015/2/21,6,1,ChineseNewYear
2015/2/22,7,1,ChineseNewYear
2015/2/23,1,1,ChineseNewYear
2015/2/24,2,1,ChineseNewYear
2015/2/25,3,0,
2015/2/26,4,0,
2015/2/27,5,0,
2015/2/28,6,0,
2015/3/1,7,1,
2015/3/2,1,0,
2015/3/3,2,0,
2015/3/4,3,0,
2015/3/5,4,0,
2015/3/6,5,0,
2015/3/7,6,1,
2015/3/8,7,1,
2015/3/9,1,0,
2015/3/10,2,0,
2015/3/11,3,0,
2015/3/12,4,0,
2015/3/13,5,0,
2015/3/14,6,1,
2015/3/15,7,1,
2015/3/16,1,0,
2015/3/17,2,0,
2015/3/18,3,0,
2015/3/19,4,0,
2015/3/20,5,0,
2015/3/21,6,1,
2015/3/22,7,1,
2015/3/23,1,0,
2015/3/24,2,0,
2015/3/25,3,0,
2015/3/26,4,0,
2015/3/27,5,0,
2015/3/28,6,1,
2015/3/29,7,1,
2015/3/30,1,0,
2015/3/31,2,0,
2015/4/1,3,0,
2015/4/2,4,0,
2015/4/3,5,0,
2015/4/4,6,1,QingMing
2015/4/5,7,1,QingMing
2015/4/6,1,1,QingMing
2015/4/7,2,0,
2015/4/8,3,0,
2015/4/9,4,0,
2015/4/10,5,0,
2015/4/11,6,1,
2015/4/12,7,1,
2015/4/13,1,0,
2015/4/14,2,0,
2015/4/15,3,0,
2015/4/16,4,0,
2015/4/17,5,0,
2015/4/18,6,1,
2015/4/19,7,1,
2015/4/20,1,0,
2015/4/21,2,0,
2015/4/22,3,0,
2015/4/23,4,0,
2015/4/24,5,0,
2015/4/25,6,1,
